user,skill,rate
13611,222,1
2094,533,1
11389,970,0
1537,705,1
14243,26,0
15029,819,0
7210,770,1
174,63,1
0,321,1
3766,92,1
12130,402,0
8333,52,0
11151,212,1
70,289,1
84,58,1
5404,900,0
15776,172,1
3927,27,1
984,981,1
2487,113,1
2754,603,1
7050,490,0
13575,366,0
2332,923,0
707,409,1
11320,888,0
235,58,1
664,445,1
13971,10,0
3283,464,1
10625,180,1
8370,981,1
3010,770,1
2331,263,1
2697,860,0
4760,224,1
13959,821,0
5137,29,1
2785,866,0
13427,855,0
6884,413,1
9081,58,1
2490,495,1
508,386,1
4081,705,1
6073,166,1
1340,740,1
530,92,1
4080,21,1
6518,172,1
2041,268,1
10215,435,1
7603,651,1
49,46,1
18142,247,1
10653,439,1
317,862,1
6190,222,1
430,286,1
1850,739,1
8448,279,1
7448,385,1
13943,33,0
4883,651,1
11601,469,1
6511,482,1
14330,279,1
1113,985,1
4359,356,1
16817,202,0
16739,604,0
101,705,1
15928,57,0
5529,238,1
9660,589,0
5341,263,1
5787,188,0
7923,286,0
15190,97,0
1709,496,1
10286,724,0
9793,991,0
12146,569,0
5013,575,1
10744,52,0
855,58,1
5684,189,0
11853,750,1
12709,543,0
6741,487,0
15239,862,1
10798,63,1
16417,487,1
9238,224,1
6047,317,1
3412,266,1
3016,332,0
562,122,1
8470,58,1
8770,262,1
1194,750,1
8328,813,0
1311,951,0
175,279,1
11702,866,1
4171,533,1
16700,506,1
702,720,1
14297,651,1
2542,386,1
253,837,1
17814,224,1
13204,445,0
17032,792,0
16612,866,1
4850,406,0
2458,951,1
2460,58,1
17445,617,0
3526,661,1
6696,892,1
17454,156,0
664,866,1
11583,459,0
15579,775,1
12754,731,0
5923,20,1
5577,668,1
6297,548,0
2269,811,1
3021,533,1
3072,474,0
11498,10,1
5569,176,1
14430,423,1
10757,616,1
1723,338,1
12428,641,0
4118,247,1
16492,268,1
8958,496,0
5292,133,1
7196,262,1
414,302,1
2652,506,1
9323,625,0
17628,786,0
12762,502,0
892,750,1
6706,370,1
8449,277,0
4464,482,1
1163,951,1
1874,92,1
17037,907,0
16979,370,1
2449,866,1
16135,172,1
7017,495,1
14854,464,1
13963,500,0
6522,385,1
4979,584,0
16475,506,1
16519,396,0
1156,740,1
4885,889,0
6205,892,1
13930,723,0
13484,58,1
5294,976,0
504,318,1
18392,867,0
14103,378,1
8036,964,1
10720,541,1
61,964,1
12415,314,1
16071,172,1
6603,990,0
5386,604,0
10366,5,1
7362,155,1
8071,149,0
4147,358,1
5538,806,0
5464,439,1
14320,508,1
8922,586,0
5977,92,1
395,587,1
1409,839,1
15492,774,0
12605,708,1
1801,27,1
2416,825,1
3019,980,0
12718,337,1
8007,955,0
1520,497,0
10773,495,1
4111,208,1
3057,799,1
2463,803,1
4983,358,1
13376,864,0
9217,861,1
12785,915,0
7587,506,1
3130,370,1
1236,164,1
901,791,1
9169,166,1
2940,247,1
6316,386,1
13219,782,0
5121,165,0
14905,400,0
13697,151,0
372,625,1
14215,528,0
3109,409,0
5629,58,1
2027,439,1
11012,677,1
2088,317,1
10748,505,1
15062,861,1
7642,172,1
5245,262,1
8986,17,1
5775,27,1
1617,113,1
8654,503,1
8764,172,1
1874,506,1
12268,58,1
1321,119,0
5454,165,1
3836,247,1
10256,68,0
8251,165,0
2500,195,1
10333,233,1
2070,243,1
16332,855,0
9415,749,1
4716,770,1
14295,506,1
270,97,1
10770,58,1
4320,279,1
828,164,1
1143,243,0
8723,991,1
4243,583,1
15394,676,1
2464,893,1
17111,195,1
27,750,1
2016,533,0
151,321,1
2049,122,1
12248,271,1
14580,493,1
9386,506,1
4343,166,1
13725,632,1
2450,262,1
7921,44,0
9925,546,0
5563,302,1
1403,217,1
8862,705,1
6189,312,0
5675,314,1
17532,556,0
1378,321,1
9218,521,0
14870,150,0
7221,848,0
9363,247,1
465,632,1
2126,791,1
612,247,1
284,632,1
6343,423,1
17432,634,1
1573,860,0
8143,632,1
2333,58,1
1177,279,1
4454,439,1
4156,927,1
6628,474,0
34,386,1
5344,908,1
7989,508,1
18325,791,0
16612,506,1
10680,636,0
1920,385,1
3569,340,1
1491,866,1
5274,890,0
6120,575,1
5307,705,1
1649,385,1
5843,908,1
1078,58,0
3996,321,1
13742,632,1
8957,256,0
9009,172,1
6273,964,0
12780,302,0
8112,506,1
16681,386,1
12117,326,0
1420,209,0
9697,321,1
8716,172,1
2494,649,0
120,618,1
5092,572,0
4139,107,1
2983,46,0
1244,165,1
18207,496,0
5025,944,1
1372,770,1
1021,540,1
9538,632,1
2366,740,1
3127,500,1
3100,473,1
10799,951,1
8856,439,1
8647,356,1
17867,727,0
5966,991,1
14225,702,0
5443,17,1
15645,860,0
16000,129,0
15696,401,0
6397,632,1
11678,39,1
9886,681,0
3978,262,1
8646,808,0
15121,386,1
903,439,1
1797,723,0
3402,866,1
3289,92,1
5844,495,1
381,84,0
2371,620,0
4650,385,1
16225,449,0
3894,172,1
2034,435,0
1451,165,0
4360,285,0
11176,21,1
18180,262,1
9396,18,0
18371,986,0
8820,770,1
554,27,1
62,233,1
14234,190,0
2205,58,1
3810,262,1
2499,321,1
4149,740,1
12327,651,1
15927,57,0
3467,92,1
9740,148,0
16080,785,0
8751,495,1
9533,951,1
12526,155,1
7133,812,0
16034,440,0
524,743,0
2963,180,0
1214,610,1
5464,358,1
12347,966,0
2692,27,1
363,527,0
6042,926,1
3986,409,1
7934,58,1
13032,373,0
6147,652,0
16084,92,1
4159,172,1
9007,755,0
11551,171,0
11437,58,1
1033,58,1
828,122,1
2968,59,1
9122,681,0
9439,63,0
8191,122,1
13003,933,1
16978,506,1
791,951,1
11219,723,1
18170,402,0
5656,149,1
6357,358,1
9051,99,0
13636,770,0
4380,506,1
14742,950,0
14123,694,1
6784,413,1
2928,113,1
7388,58,1
9320,92,1
1088,686,0
4970,243,1
1237,861,1
4856,321,1
17350,412,0
9123,247,1
4268,92,1
2742,506,1
16435,687,0
17537,29,0
584,385,1
925,584,1
6148,671,0
1480,122,1
16426,740,1
8639,63,1
310,506,1
13231,984,0
737,92,1
1817,347,1
8710,504,0
4531,232,0
102,195,1
16150,740,1
2355,981,0
6699,17,1
490,165,1
11875,317,0
3268,222,1
15273,247,1
1146,321,0
12950,750,1
11096,236,0
7948,596,0
2428,643,0
7785,166,1
16038,254,0
1616,938,0
17662,550,0
16451,198,0
18053,58,1
3822,370,1
6164,685,0
11090,215,0
1086,631,0
6148,262,1
4082,43,1
3200,243,1
14386,57,0
3533,923,0
15056,770,1
12247,654,0
13126,651,1
3586,487,1
202,166,1
7459,172,1
7309,87,0
622,786,1
5591,978,1
14853,967,0
13003,591,0
15065,457,0
7694,267,0
726,533,1
5098,240,0
7072,58,1
2172,247,1
9054,64,0
8151,252,1
4375,749,1
3399,439,1
10268,686,0
12357,250,0
2004,63,1
11635,132,0
6210,38,0
97,511,1
15401,92,1
12039,92,1
4332,215,1
7509,243,1
1726,195,1
3346,257,1
2836,133,1
17278,118,0
2202,217,1
13543,351,0
3134,811,1
6380,27,1
905,164,0
8724,799,1
7822,98,0
5576,960,0
4633,58,1
10070,8,0
17331,740,0
4693,913,0
14413,471,1
11060,632,1
7303,17,1
11041,58,0
5029,718,1
4039,262,1
5498,506,1
3624,705,1
7834,506,1
6545,409,1
3665,247,1
1938,522,0
5939,169,0
3049,345,0
1810,176,1
2083,858,0
2087,906,1
5784,58,1
598,908,1
15731,943,0
12562,392,0
13000,172,1
3720,770,1
10437,684,0
1302,498,1
2748,805,0
