user,skill,rate
11172,37,0
18122,59,1
13399,51,1
2763,11,1
3859,66,1
19759,76,1
61,19,1
6799,36,1
14389,61,0
15926,45,1
15045,11,1
9386,61,1
17140,60,1
11425,49,1
14348,24,0
237,50,1
8130,11,1
1745,55,1
14945,9,1
2078,1,1
3694,27,1
5601,60,1
12372,48,1
1213,39,1
6116,74,1
17414,49,1
12777,71,0
19758,60,0
2108,50,1
10013,66,1
19539,50,1
18279,15,1
18212,11,1
7061,69,0
10832,43,0
6694,71,1
16337,14,1
16603,27,1
2018,45,1
9498,9,1
10930,43,1
8358,12,1
17351,15,0
19435,54,0
18186,9,1
17049,24,1
3195,62,0
1257,74,1
18724,32,0
106,12,0
5797,14,1
2029,9,1
10812,40,1
14922,50,1
14079,1,0
3957,53,1
9536,18,1
16641,17,1
7033,43,1
11778,18,1
5981,53,1
965,66,1
7485,68,1
9015,57,0
13869,21,1
5749,75,1
11183,55,0
15181,70,0
16946,51,0
10156,29,0
7662,49,1
2269,33,1
13882,39,1
12928,25,1
6756,16,1
6967,48,0
4681,46,1
10777,50,1
6230,60,1
2877,2,0
14642,30,1
10180,27,1
3591,16,1
1252,16,1
17298,20,1
16432,8,1
14698,74,1
251,60,1
17845,46,1
16327,32,1
7232,39,0
14324,48,1
1158,15,1
8318,70,1
11203,33,1
17681,74,1
18999,74,1
1568,43,1
14149,44,0
16147,64,0
4085,35,0
10271,28,1
9566,6,1
16140,60,1
16028,31,0
15162,33,1
12105,33,1
15935,30,1
7721,51,1
5504,61,0
112,1,1
1935,44,1
6305,56,1
16017,72,0
5967,28,1
3831,74,0
707,46,1
5243,60,1
19965,21,1
16976,5,1
18802,60,1
9240,8,1
5682,25,1
8314,13,1
19826,54,1
16966,72,1
680,22,1
3103,41,0
7980,15,1
264,76,0
13216,33,1
8063,45,1
10573,2,0
2970,40,1
17467,34,1
15998,54,1
19583,62,0
6487,9,1
19581,22,1
563,14,1
9886,36,0
10407,38,1
14045,26,1
19515,18,1
5268,8,1
4211,17,0
2137,9,1
7277,61,1
17824,7,0
15312,45,0
14943,16,1
15331,8,1
7661,16,1
19867,74,1
13584,63,1
15499,10,1
13568,63,1
14795,5,1
15597,28,1
4589,1,0
