user,skill,rate
15627,23,0
14887,9,1
1536,8,1
15126,34,1
16468,42,1
387,18,1
8659,46,1
4730,41,1
4749,43,1
17533,58,1
4497,34,1
19300,27,1
19649,18,1
13077,54,1
1118,61,1
19985,10,1
419,10,1
1532,57,1
5664,23,1
19123,62,1
3012,34,1
3099,11,1
9500,7,0
9086,19,1
15947,36,1
15066,40,0
14505,39,1
12913,4,1
5694,25,0
18121,24,0
8970,43,1
17498,17,1
5771,14,1
232,53,0
877,35,0
10804,41,0
19761,60,1
2419,59,1
9185,35,1
16933,55,1
13332,2,1
6771,50,1
10346,11,0
17262,51,1
19552,60,0
10212,40,0
2764,5,1
10577,26,1
3241,56,1
7712,37,0
4340,38,1
2327,36,0
16616,59,0
13845,14,0
5550,60,0
13116,34,1
7613,30,1
15779,0,0
11077,0,1
5016,17,1
15436,16,0
14775,6,1
659,34,0
18058,22,1
5805,61,1
3225,27,0
15751,36,0
10791,49,0
12709,17,0
18663,6,0
15606,51,1
4897,39,1
8713,50,0
5083,28,1
3224,43,1
18575,2,1
9403,51,1
11686,61,0
16184,40,1
816,51,1
5638,34,1
11759,30,1
11614,23,1
9567,51,1
16442,35,1
19260,29,1
10875,29,0
19550,34,1
10025,24,1
12380,43,1
16607,27,0
14182,7,0
14717,35,1
7132,55,0
7287,27,1
2832,57,0
19429,55,1
9829,2,1
9091,15,1
326,42,1
16869,45,1
2994,7,1
3622,41,1
15644,61,1
13357,9,1
2605,57,1
8689,0,1
6446,10,0
3825,63,0
13653,40,0
17902,22,1
19880,3,0
14647,36,1
7945,56,1
19466,48,1
3799,41,1
5832,52,1
18157,22,0
15219,31,0
17460,23,1
10753,41,1
5197,58,1
4265,51,1
6894,55,0
12587,34,1
10613,10,1
13776,12,1
15488,35,1
2958,19,0
17765,56,1
2686,18,1
6942,18,1
4763,16,0
4441,63,1
3375,16,1
18282,34,1
21,25,1
11739,57,1
2002,23,1
17421,46,1
11247,29,1
3914,57,1
8541,33,1
18776,12,0
14413,10,1
16965,8,0
2351,20,0
13327,33,1
139,53,1
1554,27,0
15650,45,1
3992,8,1
17846,24,1
7205,7,1
3918,30,0
15816,22,1
9313,39,1
11071,54,1
6476,17,0
12478,53,1
7928,8,1
2491,44,0
9585,16,1
7444,17,1
12412,46,1
3186,30,1
7768,38,0
13195,35,1
18837,35,1
18044,56,0
17171,9,0
16561,49,1
4556,14,1
18594,25,1
19130,58,1
18914,33,1
3340,40,1
13786,62,1
2263,17,1
639,46,0
12517,39,1
17454,45,1
11807,18,0
11275,26,1
15607,19,1
14833,61,1
7801,34,0
8684,4,0
10529,28,0
17098,39,1
2982,49,1
266,45,0
10165,34,1
3381,34,1
15984,5,1
12918,19,0
11443,53,1
10724,2,0
18237,36,0
14505,5,1
18887,30,0
1054,47,1
6598,0,0
6834,34,0
15423,41,0
11364,44,1
13141,16,1
2284,20,1
14583,34,0
3176,54,1
8983,60,1
5200,29,1
5656,57,0
13052,60,1
2369,39,1
14211,6,0
6067,47,1
8986,62,1
9456,59,1
16334,8,1
982,14,1
7456,3,1
19976,26,1
5318,29,0
7928,10,0
8898,11,1
16016,54,1
7502,0,0
4858,39,1
2306,44,1
8311,7,1
11090,32,0
9186,29,1
6943,27,1
13553,16,1
1126,23,1
17615,56,1
19126,57,0
19926,21,1
18184,5,1
7851,53,1
11483,50,1
18362,11,1
8984,23,0
1847,8,1
3479,34,1
6977,32,1
3036,30,1
9157,25,0
18142,24,1
18921,58,0
12832,22,1
2184,8,1
16464,53,1
2535,52,1
5506,61,1
12582,53,1
17033,24,1
10562,34,1
15939,33,1
17495,25,1
1613,6,1
15017,49,1
10085,14,1
9208,13,0
16769,23,1
14520,40,1
10383,18,1
19909,15,1
16712,59,0
14795,48,1
12141,34,1
17783,30,1
11253,41,1
10404,53,1
9442,1,1
6738,30,1
13004,38,0
11775,60,1
19520,31,1
18587,42,1
2950,59,0
19690,17,1
12647,58,1
5306,7,0
18136,23,1
11893,61,1
2695,39,1
3699,46,1
12687,9,0
3654,11,1
10175,14,0
18763,42,1
4307,60,0
6549,37,1
396,46,0
17548,47,1
7509,10,0
1930,18,1
15738,17,1
17859,45,1
2416,1,1
1999,18,0
14930,27,1
11184,30,1
9994,5,1
2902,50,1
10399,51,1
8799,41,1
11525,39,0
16002,48,1
13056,1,0
1220,46,0
5081,17,1
4762,56,1
19900,24,1
8891,33,1
12737,46,0
10228,30,1
16588,61,0
14739,55,1
4451,51,0
10546,15,0
14490,39,1
489,29,0
2856,45,1
4657,34,1
16721,26,1
9245,39,1
4476,48,1
8248,24,1
4473,61,0
12869,34,1
15211,54,1
1831,44,1
9003,34,1
6194,11,1
16918,60,1
18566,46,1
12501,30,0
11931,40,1
6587,0,1
18344,34,1
4315,49,1
8689,37,0
