labels,entities
"['Position', 'Management', 'Management', 'Management', 'Management', 'Management', 'Work Activity', 'Management', 'Work Activity', 'Management', 'Position', 'Industry', 'Management', 'Position', 'Management']","['insurance', 'masters degree', 'director', 'administrative support', 'manager', 'analysis', 'executive assistant', 'teamwork', 'software', 'banking', 'planning', 'leadership', 'management', 'interpersonal skills', 'information systems']"
"['Position', 'Work Activity', 'Academic Discipline', 'Industry', 'Education Level', 'Education Level', 'Soft Skill', 'Industry']","[""master's is"", 'public speaking', 'logistics', 'program manager', 'government', 'planning', ""bachelor's degree"", 'scheduling']"
"['Position', 'Industry']","['director', 'communications']"
"['Industry', 'Soft Skill', 'Work Activity', 'Work Activity', 'Work Activity', 'Industry']","['programming', 'analysis', 'communication skills', 'government', 'software', 'planning']"
"['Position', 'Management', 'Programming Language', 'Business Function', 'Education Level', 'Platform', 'Standard/Technology', 'Database', 'Programming Language', 'Business Function']","['human resources', 'university degree', 'windows', 'visual basic', 'software development', 'tcp/ ip', 'software developer', 'sql', 'ms sql', 'management']"
['Soft Skill'],['communication skills']
"['Position', 'Position', 'Position', 'Education Level', 'Management', 'Industry']","['organizational skills', 'chief accountant', 'ms access', 'university degree', 'software', 'excel']"
"['Position', 'Position', 'Business Function', 'Industry', 'Business Function', 'Business Function']","['administrative coordinator', 'public relations', 'program manager', 'government', 'communications', 'public outreach']"
"['Position', 'Work Activity', 'Education Level', 'Solution', 'Soft Skill', 'Management', 'Soft Skill', 'Business Function']","['organizational skills', 'human resources', 'director', 'university degree', 'ms office', 'organizing', 'problem-solving', 'interpersonal skills']"
"['Business Function', 'Education Level', 'Management', 'Management', 'Management']","['organizational skills', 'human resources', 'c', 'university degree', 'management']"
['Position'],['administrative assistance']
"['Position', 'Position', 'Position', 'Position', 'Business Function', 'Industry', 'Business Function']","['administrative intern', 'administrative coordinator', 'public relations', 'program manager', 'government', 'communications', 'public outreach']"
"['Industry', 'Education Level', 'Management', 'Management', 'Management']","['written and oral communications', 'masters degree', 'project management', 'agribusiness', 'management']"
"['Soft Skill', 'Position', 'Soft Skill', 'Position', 'Academic Discipline', 'Academic Discipline', 'Solution']","['consultant', 'conflict management', 'analysis', 'communication skills', 'government', 'ms office', 'willing to work']"
"['Position', 'Management', 'Industry']","['manager', 'organisational skills', 'sales']"
"['Industry', 'Position', 'Business Function', 'Database', 'Platform', 'Platform', 'Standard/Technology']","['windows', 'network administrator', 'linux', 'database administration', 'ms sql', 'tcp/ ip', 'communications']"
['Programming Language'],['go']
